,3LargestGFA,ListOfAllPropertyUseTypes,FirstUseType,SecondLargestPropertyUseType,YearBuilt,NumberofFloors,NumberofBuildings,Latitude,Longitude,Neighborhood,SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),SteamUse(kBtu)
1593,45750.0,"Other, Parking",Other,Parking,1900,3,1.0,47.66646,-122.38263,BALLARD,7240274.0,1749609.0,5490664.0,0.0
1595,23500.0,Office,Small- and Mid-Sized Office,,1968,2,1.0,47.66497,-122.38047,BALLARD,1686405.0,1192984.0,493421.0,0.0
1596,22282.0,Office,Small- and Mid-Sized Office,,1966,1,1.0,47.66431,-122.37988,BALLARD,579888.3125,306298.0,273590.0,0.0
1597,24000.0,Self-Storage Facility,Self-Storage Facility,,1902,2,1.0,47.66351,-122.37961,BALLARD,502898.6875,201999.0,300900.0,0.0
1599,24396.0,"Multifamily Housing, Office, Other, Strip Mall",Mixed Use Property,Office,1909,3,1.0,47.66852,-122.38175,BALLARD,1995131.75,981638.0,1013494.0,0.0
1606,34639.0,"Fitness Center/Health Club/Gym, Other - Recreation, Swimming Pool",Other,Fitness Center/Health Club/Gym,1996,2,1.0,47.70544,-122.2918,NORTH,8086943.5,2608582.0,5478361.0,0.0
1607,37500.0,Office,Small- and Mid-Sized Office,,1931,2,1.0,47.719,-122.29966,NORTH,2235765.5,1614256.0,621509.0,0.0
1609,23983.0,K-12 School,K-12 School,,1930,3,1.0,47.73143,-122.32784,NORTHWEST,1164364.75,618998.0,545367.0,0.0
1610,23600.0,"Distribution Center, Non-Refrigerated Warehouse",Distribution Center,Non-Refrigerated Warehouse,1980,1,1.0,47.55832,-122.35239,DELRIDGE,809870.8125,271509.0,538362.0,0.0
1613,51515.0,K-12 School,K-12 School,,2004,2,3.0,47.66665,-122.31818,NORTHEAST,3846501.25,1639135.0,2207366.0,0.0
1619,57114.0,"Office, Parking, Retail Store",Mixed Use Property,Office,1996,3,1.0,47.68582,-122.33709,NORTHWEST,2450442.75,2450443.0,0.0,0.0
1620,20294.0,"Office, Other",Other,Office,1957,2,1.0,47.65843,-122.38435,MAGNOLIA / QUEEN ANNE,1735995.75,536408.0,1199588.0,0.0
1621,24008.0,Office,Small- and Mid-Sized Office,,1983,4,1.0,47.65708,-122.38383,MAGNOLIA / QUEEN ANNE,1286817.375,1286817.0,0.0,0.0
1622,53707.0,"Office, Parking",Small- and Mid-Sized Office,Parking,1983,4,1.0,47.65649,-122.38383,MAGNOLIA / QUEEN ANNE,1755788.5,1755788.0,0.0,0.0
1623,55106.0,"Non-Refrigerated Warehouse, Office, Other - Services",Mixed Use Property,Other - Services,1960,2,1.0,47.65118,-122.37875,MAGNOLIA / QUEEN ANNE,2189735.0,1591510.0,598225.0,0.0
1624,39497.0,"Non-Refrigerated Warehouse, Office",Warehouse,Office,1955,2,1.0,47.64913,-122.37929,MAGNOLIA / QUEEN ANNE,1700057.375,1344071.0,355986.0,0.0
1634,53776.0,Other - Entertainment/Public Assembly,Other,,1932,1,1.0,47.6303,-122.3142,EAST,3548858.25,1443141.0,2105717.0,0.0
1637,27574.0,Office,Small- and Mid-Sized Office,,1982,2,1.0,47.70793,-122.33316,NORTHWEST,1211349.25,1211349.0,0.0,0.0
1641,24982.0,Retail Store,Retail Store,,1965,1,1.0,47.70747,-122.32249,NORTH,335245.0,335245.0,0.0,0.0
1643,43661.0,"Parking, Senior Care Community",Senior Care Community,Parking,1998,5,1.0,47.71069,-122.32674,NORTH,3936421.5,2741695.0,1194726.0,0.0
1644,94717.0,Senior Care Community,Senior Care Community,,1992,4,1.0,47.70973,-122.32269,NORTH,4567879.0,3052546.0,1515332.0,0.0
1647,24400.0,"Office, Senior Care Community",Senior Care Community,Office,1992,5,1.0,47.70939,-122.32178,NORTH,1962351.25,808317.0,1154034.0,0.0
1648,76105.0,Office,Small- and Mid-Sized Office,,1987,3,1.0,47.70842,-122.3332,NORTHWEST,2472350.25,2472350.0,0.0,0.0
1653,37270.0,"Non-Refrigerated Warehouse, Office, Retail Store",Mixed Use Property,Retail Store,1952,2,1.0,47.70983,-122.31865,NORTH,1998725.25,1340993.0,657732.0,0.0
1656,41615.0,Retail Store,Retail Store,,1966,1,1.0,47.70708,-122.32251,NORTH,1900006.25,1900006.0,0.0,0.0
1657,28841.0,Medical Office,Medical Office,,1988,3,1.0,47.70676,-122.32264,NORTH,1459199.75,955324.0,503875.0,0.0
1658,32344.0,"Office, Parking, Self-Storage Facility",Self-Storage Facility,Office,1977,2,2.0,47.70782,-122.31873,NORTH,123767.2031,123767.0,0.0,0.0
1659,30498.0,Other - Recreation,Other,,2005,1,2.0,47.70541,-122.32232,NORTH,2436063.0,1066226.0,1369837.0,0.0
1660,124848.0,Senior Care Community,Senior Care Community,,1972,8,1.0,47.70978,-122.32156,NORTH,6682175.0,4763373.0,1918802.0,0.0
1664,21405.0,K-12 School,K-12 School,,1924,2,1.0,47.51698,-122.35946,DELRIDGE,959352.0,173165.0,786187.0,0.0
1666,23260.0,"Office, Repair Services (Vehicle, Shoe, Locksmith, etc)","Repair Services (Vehicle, Shoe, Locksmith, etc)",Office,1963,1,1.0,47.53366,-122.33733,DELRIDGE,1612105.75,719779.0,892327.0,0.0
1668,36200.0,"Data Center, Non-Refrigerated Warehouse, Office",Small- and Mid-Sized Office,Non-Refrigerated Warehouse,1988,2,1.0,47.53309,-122.33977,DELRIDGE,2619088.5,1804388.0,814700.0,0.0
1669,27144.0,Other,Other,,1920,2,1.0,47.63132,-122.34136,MAGNOLIA / QUEEN ANNE,1012024.313,458796.0,553228.0,0.0
1670,23166.0,Other,Other,,1970,1,5.0,47.70969,-122.34557,NORTHWEST,3475804.25,3.0,3475801.0,0.0
1671,44667.0,"Medical Office, Parking",Medical Office,Parking,1979,2,1.0,47.70558,-122.33486,NORTHWEST,1633105.375,1633105.0,0.0,0.0
1672,750353.0,"Hospital (General Medical & Surgical), Parking",Hospital,Parking,1966,1,8.0,47.71425,-122.33689,NORTHWEST,98960776.0,42864158.0,56096612.0,0.0
1675,47906.0,"Medical Office, Office, Worship Facility",Worship Facility,Medical Office,1965,2,1.0,47.71745,-122.33221,NORTHWEST,1614026.25,704681.0,909345.0,0.0
1678,21603.0,Supermarket/Grocery Store,Supermarket / Grocery Store,,1965,1,1.0,47.57894,-122.31287,GREATER DUWAMISH,5833800.0,3900058.0,1933742.0,0.0
1690,856738.0,"Medical Office, Other/Specialty Hospital, Outpatient Rehabilitation/Physical Therapy, Parking",Medical Office,Parking,1964,3,1.0,47.62014,-122.31228,EAST,102673696.0,48002292.0,54671394.0,0.0
1691,43050.0,Distribution Center,Distribution Center,,1979,1,1.0,47.53158,-122.33568,DELRIDGE,436252.5,436253.0,0.0,0.0
1692,57952.0,Adult Education,Adult Education,,2005,1,5.0,47.51885,-122.33421,DELRIDGE,3091387.5,1474450.0,1616937.0,0.0
1693,26232.0,"Office, Other - Services",Other,Office,1971,1,1.0,47.52956,-122.33592,DELRIDGE,3094090.0,902081.0,2192009.0,0.0
1698,25840.0,Non-Refrigerated Warehouse,Warehouse,,1956,2,1.0,47.59783,-122.31554,DOWNTOWN,313528.0938,313528.0,0.0,0.0
1699,43813.0,Office,Small- and Mid-Sized Office,,1988,1,1.0,47.59721,-122.31838,DOWNTOWN,1268459.0,514491.0,753968.0,0.0
1701,70332.0,"Office, Parking",Small- and Mid-Sized Office,Parking,2001,5,1.0,47.59728,-122.31587,DOWNTOWN,1981115.25,1866104.0,115011.0,0.0
1717,53234.0,K-12 School,K-12 School,,1971,1,1.0,47.55813,-122.3189,GREATER DUWAMISH,1155080.5,1066312.0,88768.0,0.0
1726,45522.0,"Parking, Supermarket/Grocery Store",Supermarket / Grocery Store,Parking,1994,1,1.0,47.6899,-122.37619,BALLARD,12250422.0,7019711.0,5230709.0,0.0
1727,20088.0,"Office, Parking, Retail Store",Retail Store,Office,1979,2,1.0,47.72286,-122.34612,NORTHWEST,326778.6875,326778.0,0.0,0.0
1732,139557.0,Other,Other,,1989,2,5.0,47.57049,-122.34857,GREATER DUWAMISH,7837692.5,5130303.0,2707389.0,0.0
1733,40657.0,"Office, Parking",Small- and Mid-Sized Office,Parking,1997,2,1.0,47.56999,-122.34703,GREATER DUWAMISH,2826828.0,2742404.0,84424.0,0.0
1734,20200.0,"Non-Refrigerated Warehouse, Office",Warehouse,Office,1900,1,1.0,47.57279,-122.35066,GREATER DUWAMISH,269016.6875,260808.0,8209.0,0.0
1746,69372.0,"Office, Parking",Small- and Mid-Sized Office,Parking,1970,7,1.0,47.60663,-122.32526,EAST,1403820.0,1403820.0,0.0,0.0
1753,47000.0,"Museum, Parking",Museum,Parking,1951,1,1.0,47.60709,-122.32416,EAST,14524386.0,5782654.0,111350.0,8630381.0
1754,364087.0,"Medical Office, Parking",Medical Office,Parking,1945,0,1.0,47.60862,-122.32372,EAST,25311526.0,12015275.0,0.0,13296249.0
1755,19658.0,Office,Small- and Mid-Sized Office,,1956,3,1.0,47.60819,-122.32282,EAST,1245923.75,483381.0,0.0,762542.3125
1757,41022.0,Other,Other,,1921,2,1.0,47.54563,-122.27616,SOUTHEAST,3787648.25,3787648.0,0.0,0.0
1760,28109.0,Other,Other,,1966,2,1.0,47.57058,-122.35626,DELRIDGE,3612526.75,3326281.0,286245.0,0.0
1762,33580.0,"Office, Parking",Small- and Mid-Sized Office,Parking,1985,3,1.0,47.72986,-122.29278,NORTH,409578.4063,409579.0,0.0,0.0
1763,165914.0,"Parking, Senior Care Community",Senior Care Community,Parking,2010,7,1.0,47.72892,-122.29183,NORTH,4217623.0,2700639.0,1516984.0,0.0
1766,21936.0,Non-Refrigerated Warehouse,Warehouse,,1977,1,1.0,47.72051,-122.30103,NORTH,113130.0,71827.0,41303.0,0.0
1767,30139.0,Other,Other,,1969,1,1.0,47.72083,-122.29979,NORTH,1045838.5,244597.0,801241.0,0.0
1773,94704.0,"Bank Branch, Multifamily Housing, Office, Other, Retail Store",Mixed Use Property,Multifamily Housing,1909,11,1.0,47.61056,-122.33661,DOWNTOWN,9546165.0,4602455.0,4943709.0,0.0
